1	##int	move
2	int#Ident	reduction
3	bType#Ident	move
4	Ident#(	move
5	(#int	move
6	int#Ident	reduction
7	bType#Ident	move
8	Ident#,	reduction
9	funcFParam#,	reduction
10	funcFParam_list#,	move
11	,#int	move
12	int#Ident	reduction
13	bType#Ident	move
14	Ident#,	reduction
15	funcFParam#,	reduction
16	funcFParam_list#,	move
17	,#int	move
18	int#Ident	reduction
19	bType#Ident	move
20	Ident#)	reduction
21	funcFParam#)	reduction
22	funcFParam_list#)	reduction
23	funcFParams#)	reduction
24	funcFParams_opt#)	move
25	)#{	move
26	{#const	reduction
27	blockItem_list#const	move
28	const#float	move
29	float#Ident	reduction
30	bType#Ident	move
31	Ident#=	move
32	=#floatConst	move
33	floatConst#*	reduction
34	number#*	reduction
35	primaryExp#*	reduction
36	unaryExp#*	reduction
37	mulExp#*	move
38	*#floatConst	move
39	floatConst#;	reduction
40	number#;	reduction
41	primaryExp#;	reduction
42	unaryExp#;	reduction
43	mulExp#;	reduction
44	addExp#;	reduction
45	constExp#;	reduction
46	constInitVal#;	reduction
47	constDef#;	reduction
48	constDef_list#;	move
49	;#const	reduction
50	constDecl#const	reduction
51	decl#const	reduction
52	blockItem#const	reduction
53	blockItem_list#const	move
54	const#float	move
55	float#Ident	reduction
56	bType#Ident	move
57	Ident#=	move
58	=#Ident	move
59	Ident#-	reduction
60	lVal#-	reduction
61	primaryExp#-	reduction
62	unaryExp#-	reduction
63	mulExp#-	reduction
64	addExp#-	move
65	-#floatConst	move
66	floatConst#;	reduction
67	number#;	reduction
68	primaryExp#;	reduction
69	unaryExp#;	reduction
70	mulExp#;	reduction
71	addExp#;	reduction
72	constExp#;	reduction
73	constInitVal#;	reduction
74	constDef#;	reduction
75	constDef_list#;	move
76	;#float	reduction
77	constDecl#float	reduction
78	decl#float	reduction
79	blockItem#float	reduction
80	blockItem_list#float	move
81	float#Ident	reduction
82	bType#Ident	move
83	Ident#=	move
84	=#Ident	move
85	Ident#*	reduction
86	lVal#*	reduction
87	primaryExp#*	reduction
88	unaryExp#*	reduction
89	mulExp#*	move
90	*#Ident	move
91	Ident#+	reduction
92	lVal#+	reduction
93	primaryExp#+	reduction
94	unaryExp#+	reduction
95	mulExp#+	reduction
96	addExp#+	move
97	+#Ident	move
98	Ident#;	reduction
99	lVal#;	reduction
100	primaryExp#;	reduction
101	unaryExp#;	reduction
102	mulExp#;	reduction
103	addExp#;	reduction
104	relExp#;	reduction
105	eqExp#;	reduction
106	lAndExp#;	reduction
107	lOrExp#;	reduction
108	assignExp#;	reduction
109	exp#;	reduction
110	initVal#;	reduction
111	varDef#;	reduction
112	varDef_list#;	move
113	;#;	reduction
114	varDecl#;	reduction
115	decl#;	reduction
116	blockItem#;	reduction
117	blockItem_list#;	reduction
118	exp_opt#;	move
119	;#if	reduction
120	stmt#if	reduction
121	blockItem#if	reduction
122	blockItem_list#if	move
123	if#(	move
124	(#Ident	move
125	Ident#>	reduction
126	lVal#>	reduction
127	primaryExp#>	reduction
128	unaryExp#>	reduction
129	mulExp#>	reduction
130	addExp#>	reduction
131	relExp#>	move
132	>#floatConst	move
133	floatConst#)	reduction
134	number#)	reduction
135	primaryExp#)	reduction
136	unaryExp#)	reduction
137	mulExp#)	reduction
138	addExp#)	reduction
139	relExp#)	reduction
140	eqExp#)	reduction
141	lAndExp#)	reduction
142	lOrExp#)	reduction
143	cond#)	move
144	)#{	move
145	{#Ident	reduction
146	blockItem_list#Ident	move
147	Ident#=	reduction
148	lVal#=	move
149	=#Ident	move
